Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Outubro,"3,1","7,9","7,9","5,8","6,6","5,6","6,4"
  Novembro,"3,2","7,2","7,1","5,7","7,0","6,0","6,6"
  Dezembro,"3,3","7,6","8,0","6,3","7,0","6,3","7,2"
2008,,,,,,,
  Janeiro,"3,2","8,2","7,9","6,3","6,9","5,9","7,0"
  Fevereiro,"3,2","8,3","8,0","5,5","6,3","6,1","6,9"
  Março,"3,0","8,5","7,6","5,7","6,2","5,6","6,7"
  Abril,"3,2","8,9","7,1","5,9","6,3","6,1","6,8"
  Maio,"3,2","8,1","7,3","5,4","6,2","6,1","6,4"
  Junho,"3,2","7,9","7,4","6,5","6,2","6,1","6,8"
  Julho,"3,2","7,5","7,7","6,5","6,9","5,8","6,7"
  Agosto,"3,2","7,6","6,4","6,3","7,1","5,8","6,5"
  Setembro,"3,3","7,7","6,7","5,8","7,6","6,1","6,8"
  Outubro,"3,2","7,3","6,9","6,4","7,4","5,7","6,8"
  Novembro,"3,1","7,2","6,5","6,5","7,0","5,7","7,0"
  Dezembro,"3,1","7,3","7,0","6,7","6,7","5,7","6,6"
2009,,,,,,,
  Janeiro,"3,0","7,9","7,4","6,3","6,5","5,3","6,9"
  Fevereiro,"3,3","7,0","7,6","6,3","6,8","6,1","6,3"
  Março,"3,2","8,9","8,5","6,4","6,1","6,0","6,7"
  Abril,"3,3","9,5","8,1","6,3","6,4","6,2","7,0"
  Maio,"3,4","8,6","9,2","6,3","6,6","6,3","7,5"
  Junho,"3,3","9,4","7,9","6,4","6,3","6,3","8,0"
  Julho,"3,4","7,9","8,3","6,9","7,3","6,0","7,9"
  Agosto,"3,3","7,9","8,4","6,5","6,8","6,0","8,3"
  Setembro,"3,3","9,2","7,2","6,2","7,2","5,9","8,3"
  Outubro,"3,1","7,3","7,4","5,6","7,0","5,6","7,6"
  Novembro,"3,2","7,4","7,4","6,4","7,0","5,9","7,6"
