Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Março,"1,4","3,5","3,4","2,9","2,7","2,4","3,2"
  Abril,"1,4","3,6","3,3","2,7","2,7","2,5","3,2"
  Maio,"1,4","3,7","3,3","2,8","2,7","2,6","3,1"
  Junho,"1,4","3,6","3,4","2,7","2,7","2,5","3,1"
  Julho,"1,4","3,6","3,3","2,7","2,7","2,4","3,1"
  Agosto,"1,3","3,6","3,4","2,8","2,7","2,4","3,2"
  Setembro,"1,3","3,4","3,4","2,8","2,6","2,4","3,2"
  Outubro,"1,3","3,7","3,5","2,7","2,6","2,3","3,2"
  Novembro,"1,3","3,7","3,6","2,7","2,7","2,3","3,1"
  Dezembro,"1,3","3,5","3,6","2,7","2,6","2,3","3,0"
2008,,,,,,,
  Janeiro,"1,3","3,5","3,5","2,7","2,6","2,3","3,1"
  Fevereiro,"1,3","3,5","3,5","2,6","2,5","2,4","3,0"
  Março,"1,3","3,4","3,5","2,7","2,4","2,3","3,1"
  Abril,"1,3","3,5","3,5","2,7","2,4","2,3","3,1"
  Maio,"1,3","3,5","3,5","2,7","2,6","2,3","3,1"
  Junho,"1,3","3,5","3,5","2,7","2,5","2,3","3,1"
  Julho,"1,3","3,4","3,4","2,6","2,6","2,3","3,1"
  Agosto,"1,3","3,5","3,4","2,7","2,6","2,2","3,1"
  Setembro,"1,2","3,3","3,4","2,7","2,5","2,1","3,0"
  Outubro,"1,3","3,3","3,3","2,6","2,6","2,2","3,0"
  Novembro,"1,3","3,3","3,4","2,5","2,5","2,2","3,0"
  Dezembro,"1,2","3,3","3,3","2,4","2,4","2,2","3,1"
2009,,,,,,,
  Janeiro,"1,2","3,1","3,1","2,5","2,4","2,2","3,0"
  Fevereiro,"1,2","3,2","3,2","2,5","2,5","2,2","3,2"
  Março,"1,2","3,3","3,2","2,5","2,5","2,1","3,0"
  Abril,"1,2","3,3","3,2","2,6","2,5","2,0","3,0"
  Maio,"1,2","3,2","3,2","2,5","2,6","2,1","3,1"
  Junho,"1,2","3,2","3,3","2,5","2,4","2,1","3,0"
  Julho,"1,2","3,1","3,3","2,5","2,4","2,1","3,0"
  Agosto,"1,2","3,1","3,2","2,6","2,4","2,1","2,8"
  Setembro,"1,2","3,0","3,2","2,6","2,4","2,1","2,9"
  Outubro,"1,2","3,2","3,2","2,5","2,5","2,1","2,8"
  Novembro,"1,2","3,2","3,0","2,4","2,6","2,1","2,9"
  Dezembro,"1,2","3,1","3,1","2,5","2,5","2,1","3,0"
2010,,,,,,,
  Janeiro,"1,2","3,1","3,0","2,3","2,4","2,2","2,9"
  Fevereiro,"1,2","3,0","3,0","2,4","2,4","2,1","2,9"
  Março,"1,1","3,1","2,9","2,4","2,3","2,0","2,9"
  Abril,"1,1","3,1","3,0","2,3","2,3","2,0","2,9"
  Maio,"1,1","3,0","3,0","2,4","2,4","2,0","2,9"
  Junho,"1,1","3,0","3,1","2,4","2,3","2,0","3,0"
  Julho,"1,2","3,2","3,1","2,4","2,3","2,0","3,0"
  Agosto,"1,1","3,1","3,0","2,5","2,3","2,0","3,0"
  Setembro,"1,2","3,0","3,0","2,5","2,3","2,0","2,9"
