Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas - Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Privada,  38.899 ,  29.556 ,  7.938 ,  14.181 ,  3.992 ,  2.128 ,  4.020 ,  14.365 ,  2.116 ,  20.698 ,  11.199 ,  3.694 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  24.288 ,  11.008 ,  3.996 ,  2.491 ,  2.978 ,  2.404 ,  14.853 ,  1.997 ,  1.185 ,  6.944 ,  6.033 ,  407 ,  - ,  - ,  - 
Bahia,  216.211 ,  743.872 ,  89.276 ,  44.049 ,  449.119 ,  31.364 ,  66.642 ,  94.020 ,  18.775 ,  102.268 ,  177.918 ,  36.349 ,  3.252 ,  22.815 ,  2.788 ,  888 ,  1.316 ,  154 ,  193 ,  831 ,  154 ,  - ,  - ,  - ,  695 ,  485 ,  - ,  - ,  - ,  - ,  88.743 ,  41.411 ,  12.173 ,  11.165 ,  10.503 ,  3.635 ,  48.742 ,  17.398 ,  4.947 ,  27.822 ,  13.073 ,  3.492 ,  1.014 ,  437 ,  99 
Pública,  29.701 ,  438.668 ,  23.393 ,  26.449 ,  415.853 ,  20.605 ,  - ,  - ,  - ,  - ,  - ,  - ,  3.252 ,  22.815 ,  2.788 ,  193 ,  831 ,  154 ,  193 ,  831 ,  154 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9.424 ,  6.888 ,  2.372 ,  8.410 ,  6.451 ,  2.273 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.014 ,  437 ,  99 
Federal,  18.185 ,  227.692 ,  14.142 ,  14.933 ,  204.877 ,  11.354 ,  - ,  - ,  - ,  - ,  - ,  - ,  3.252 ,  22.815 ,  2.788 ,  193 ,  831 ,  154 ,  193 ,  831 ,  154 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  6.259 ,  5.928 ,  2.034 ,  5.245 ,  5.491 ,  1.935 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.014 ,  437 ,  99 
Estadual,  11.516 ,  210.976 ,  9.251 ,  11.516 ,  210.976 ,  9.251 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  3.165 ,  960 ,  338 ,  3.165 ,  960 ,  338 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  186.510 ,  305.204 ,  65.883 ,  17.600 ,  33.266 ,  10.759 ,  66.642 ,  94.020 ,  18.775 ,  102.268 ,  177.918 ,  36.349 ,  - ,  - ,  - ,  695 ,  485 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  695 ,  485 ,  - ,  - ,  - ,  - ,  79.319 ,  34.523 ,  9.801 ,  2.755 ,  4.052 ,  1.362 ,  48.742 ,  17.398 ,  4.947 ,  27.822 ,  13.073 ,  3.492 ,  - ,  - ,  - 
Sudeste,  1.910.971 ,  5.516.925 ,  841.792 ,  869.116 ,  3.310.496 ,  402.422 ,  455.598 ,  837.739 ,  182.604 ,  564.113 ,  1.136.810 ,  235.615 ,  22.144 ,  231.880 ,  21.151 ,  3.920 ,  2.105 ,  230 ,  2.293 ,  857 ,  148 ,  831 ,  752 ,  - ,  796 ,  496 ,  82 ,  - ,  - ,  - ,  1.044.758 ,  333.879 ,  142.249 ,  465.401 ,  179.296 ,  83.081 ,  262.352 ,  82.111 ,  36.739 ,  307.093 ,  68.060 ,  20.429 ,  9.912 ,  4.412 ,  2.000 
Pública,  192.331 ,  2.100.075 ,  167.102 ,  119.207 ,  1.669.101 ,  105.836 ,  8.283 ,  14.733 ,  3.581 ,  42.697 ,  184.361 ,  36.534 ,  22.144 ,  231.880 ,  21.151 ,  686 ,  1.000 ,  215 ,  543 ,  857 ,  148 ,  - ,  - ,  - ,  143 ,  143 ,  67 ,  - ,  - ,  - ,  64.642 ,  53.359 ,  22.379 ,  46.969 ,  43.350 ,  17.479 ,  606 ,  460 ,  257 ,  7.155 ,  5.137 ,  2.643 ,  9.912 ,  4.412 ,  2.000 
Federal,  96.214 ,  1.409.655 ,  91.143 ,  73.226 ,  1.159.751 ,  69.157 ,  450 ,  450 ,  449 ,  394 ,  17.574 ,  386 ,  22.144 ,  231.880 ,  21.151 ,  223 ,  358 ,  215 ,  150 ,  285 ,  148 ,  - ,  - ,  - ,  73 ,  73 ,  67 ,  - ,  - ,  - ,  41.322 ,  34.569 ,  11.116 ,  31.250 ,  29.997 ,  9.055 ,  - ,  - ,  - ,  160 ,  160 ,  61 ,  9.912 ,  4.412 ,  2.000 
Estadual,  70.574 ,  652.298 ,  65.395 ,  38.566 ,  501.609 ,  33.468 ,  417 ,  3.312 ,  398 ,  31.591 ,  147.377 ,  31.529 ,  - ,  - ,  - ,  65 ,  65 ,  - ,  15 ,  15 ,  - ,  - ,  - ,  - ,  50 ,  50 ,  - ,  - ,  - ,  - ,  18.735 ,  16.678 ,  10.180 ,  13.922 ,  12.477 ,  7.678 ,  107 ,  125 ,  107 ,  4.706 ,  4.076 ,  2.395 ,  - ,  - ,  - 
Municipal,  25.543 ,  38.122 ,  10.564 ,  7.415 ,  7.741 ,  3.211 ,  7.416 ,  10.971 ,  2.734 ,  10.712 ,  19.410 ,  4.619 ,  - ,  - ,  - ,  398 ,  577 ,  - ,  378 ,  557 ,  - ,  - ,  - ,  - ,  20 ,  20 ,  - ,  - ,  - ,  - ,  4.585 ,  2.112 ,  1.083 ,  1.797 ,  876 ,  746 ,  499 ,  335 ,  150 ,  2.289 ,  901 ,  187 ,  - ,  - ,  - 
Privada,  1.718.640 ,  3.416.850 ,  674.690 ,  749.909 ,  1.641.395 ,  296.586 ,  447.315 ,  823.006 ,  179.023 ,  521.416 ,  952.449 ,  199.081 ,  - ,  - ,  - ,  3.234 ,  1.105 ,  15 ,  1.750 ,  - ,  - ,  831 ,  752 ,  - ,  653 ,  353 ,  15 ,  - ,  - ,  - ,  980.116 ,  280.520 ,  119.870 ,  418.432 ,  135.946 ,  65.602 ,  261.746 ,  81.651 ,  36.482 ,  299.938 ,  62.923 ,  17.786 ,  - ,  - ,  - 
Minas Gerais,  319.749 ,  1.238.416 ,  158.874 ,  91.964 ,  702.599 ,  57.374 ,  68.635 ,  142.789 ,  29.247 ,  150.170 ,  320.585 ,  63.740 ,  8.980 ,  72.443 ,  8.513 ,  183 ,  63 ,  2 ,  18 ,  17 ,  2 ,  60 ,  11 ,  - ,  105 ,  35 ,  - ,  - ,  - ,  - ,  179.083 ,  75.303 ,  27.754 ,  45.510 ,  27.151 ,  11.689 ,  63.162 ,  22.639 ,  8.018 ,  66.381 ,  23.627 ,  7.359 ,  4.030 ,  1.886 ,  688 
Pública,  52.876 ,  696.610 ,  47.108 ,  43.856 ,  618.803 ,  38.557 ,  - ,  - ,  - ,  40 ,  5.364 ,  38 ,  8.980 ,  72.443 ,  8.513 ,  18 ,  17 ,  2 ,  18 ,  17 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  29.138 ,  21.966 ,  7.617 ,  25.108 ,  20.080 ,  6.929 ,  - ,  - ,  - ,  - ,  - ,  - ,  4.030 ,  1.886 ,  688 
Federal,  43.921 ,  599.238 ,  40.960 ,  34.941 ,  526.795 ,  32.447 ,  - ,  - ,  - ,  - ,  - ,  - ,  8.980 ,  72.443 ,  8.513 ,  3 ,  2 ,  2 ,  3 ,  2 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  23.660 ,  17.000 ,  5.069 ,  19.630 ,  15.114 ,  4.381 ,  - ,  - ,  - ,  - ,  - ,  - ,  4.030 ,  1.886 ,  688 
Estadual,  8.955 ,  97.372 ,  6.148 ,  8.915 ,  92.008 ,  6.110 ,  - ,  - ,  - ,  40 ,  5.364 ,  38 ,  - ,  - ,  - ,  15 ,  15 ,  - ,  15 ,  15 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  5.478 ,  4.966 ,  2.548 ,  5.478 ,  4.966 ,  2.548 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  266.873 ,  541.806 ,  111.766 ,  48.108 ,  83.796 ,  18.817 ,  68.635 ,  142.789 ,  29.247 ,  150.130 ,  315.221 ,  63.702 ,  - ,  - ,  - ,  165 ,  46 ,  - ,  - ,  - ,  - ,  60 ,  11 ,  - ,  105 ,  35 ,  - ,  - ,  - ,  - ,  149.945 ,  53.337 ,  20.137 ,  20.402 ,  7.071 ,  4.760 ,  63.162 ,  22.639 ,  8.018 ,  66.381 ,  23.627 ,  7.359 ,  - ,  - ,  - 
Espírito Santo,  69.227 ,  165.149 ,  28.002 ,  7.300 ,  56.130 ,  6.896 ,  8.510 ,  10.762 ,  2.986 ,  51.333 ,  81.154 ,  16.141 ,  2.084 ,  17.103 ,  1.979 ,  305 ,  370 ,  144 ,  145 ,  281 ,  144 ,  - ,  - ,  - ,  160 ,  89 ,  - ,  - ,  - ,  - ,  40.901 ,  17.874 ,  3.921 ,  2.343 ,  6.204 ,  1.162 ,  1.084 ,  907 ,  519 ,  36.654 ,  10.422 ,  2.047 ,  820 ,  341 ,  193 
Pública,  7.824 ,  48.585 ,  7.009 ,  5.020 ,  28.786 ,  4.617 ,  - ,  - ,  - ,  720 ,  2.696 ,  413 ,  2.084 ,  17.103 ,  1.979 ,  145 ,  281 ,  144 ,  145 ,  281 ,  144 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.630 ,  5.076 ,  675 ,  1.651 ,  4.670 ,  470 ,  - ,  - ,  - ,  159 ,  65 ,  12 ,  820 ,  341 ,  193 
Federal,  7.104 ,  45.889 ,  6.596 ,  5.020 ,  28.786 ,  4.617 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.084 ,  17.103 ,  1.979 ,  145 ,  281 ,  144 ,  145 ,  281 ,  144 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.471 ,  5.011 ,  663 ,  1.651 ,  4.670 ,  470 ,  - ,  - ,  - ,  - ,  - ,  - ,  820 ,  341 ,  193 
Estadual,  120 ,  211 ,  68 ,  - ,  - ,  - ,  - ,  - ,  - ,  120 ,  211 ,  68 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  20 ,  14 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  20 ,  14 ,  1 ,  - ,  - ,  - 
Municipal,  600 ,  2.485 ,  345 ,  - ,  - ,  - ,  - ,  - ,  - ,  600 ,  2.485 ,  345 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  139 ,  51 ,  11 ,  - ,  - ,  - ,  - ,  - ,  - ,  139 ,  51 ,  11 ,  - ,  - ,  - 
Privada,  61.403 ,  116.564 ,  20.993 ,  2.280 ,  27.344 ,  2.279 ,  8.510 ,  10.762 ,  2.986 ,  50.613 ,  78.458 ,  15.728 ,  - ,  - ,  - ,  160 ,  89 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  160 ,  89 ,  - ,  - ,  - ,  - ,  38.271 ,  12.798 ,  3.246 ,  692 ,  1.534 ,  692 ,  1.084 ,  907 ,  519 ,  36.495 ,  10.357 ,  2.035 ,  - ,  - ,  - 
Rio de Janeiro,  296.169 ,  966.324 ,  121.009 ,  175.884 ,  733.923 ,  75.718 ,  76.549 ,  132.198 ,  29.497 ,  38.856 ,  46.260 ,  11.245 ,  4.880 ,  53.943 ,  4.549 ,  131 ,  131 ,  69 ,  2 ,  2 ,  2 ,  - ,  - ,  - ,  129 ,  129 ,  67 ,  - ,  - ,  - ,  400.430 ,  58.001 ,  33.971 ,  300.899 ,  41.575 ,  23.444 ,  64.912 ,  10.715 ,  8.343 ,  32.267 ,  5.019 ,  1.815 ,  2.352 ,  692 ,  369 
Pública,  40.665 ,  577.871 ,  37.419 ,  32.709 ,  507.790 ,  30.163 ,  867 ,  3.762 ,  847 ,  2.209 ,  12.376 ,  1.860 ,  4.880 ,  53.943 ,  4.549 ,  125 ,  125 ,  69 ,  2 ,  2 ,  2 ,  - ,  - ,  - ,  123 ,  123 ,  67 ,  - ,  - ,  - ,  11.054 ,  9.652 ,  3.939 ,  8.242 ,  8.616 ,  3.414 ,  107 ,  125 ,  107 ,  353 ,  219 ,  49 ,  2.352 ,  692 ,  369 
Federal,  30.828 ,  528.886 ,  29.482 ,  25.215 ,  467.594 ,  24.209 ,  450 ,  450 ,  449 ,  283 ,  6.899 ,  275 ,  4.880 ,  53.943 ,  4.549 ,  75 ,  75 ,  69 ,  2 ,  2 ,  2 ,  - ,  - ,  - ,  73 ,  73 ,  67 ,  - ,  - ,  - ,  8.666 ,  8.643 ,  3.285 ,  6.215 ,  7.852 ,  2.916 ,  - ,  - ,  - ,  99 ,  99 ,  - ,  2.352 ,  692 ,  369 
Estadual,  9.337 ,  47.266 ,  7.607 ,  7.494 ,  40.196 ,  5.954 ,  417 ,  3.312 ,  398 ,  1.426 ,  3.758 ,  1.255 ,  - ,  - ,  - ,  50 ,  50 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  50 ,  50 ,  - ,  - ,  - ,  - ,  2.154 ,  909 ,  605 ,  2.027 ,  764 ,  498 ,  107 ,  125 ,  107 ,  20 ,  20 ,  - ,  - ,  - ,  - 
Municipal,  500 ,  1.719 ,  330 ,  - ,  - ,  - ,  - ,  - ,  - ,  500 ,  1.719 ,  330 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  234 ,  100 ,  49 ,  - ,  - ,  - ,  - ,  - ,  - ,  234 ,  100 ,  49 ,  - ,  - ,  - 
Privada,  255.504 ,  388.453 ,  83.590 ,  143.175 ,  226.133 ,  45.555 ,  75.682 ,  128.436 ,  28.650 ,  36.647 ,  33.884 ,  9.385 ,  - ,  - ,  - ,  6 ,  6 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  6 ,  6 ,  - ,  - ,  - ,  - ,  389.376 ,  48.349 ,  30.032 ,  292.657 ,  32.959 ,  20.030 ,  64.805 ,  10.590 ,  8.236 ,  31.914 ,  4.800 ,  1.766 ,  - ,  - ,  - 
São Paulo,  1.225.826 ,  3.147.036 ,  533.907 ,  593.968 ,  1.817.844 ,  262.434 ,  301.904 ,  551.990 ,  120.874 ,  323.754 ,  688.811 ,  144.489 ,  6.200 ,  88.391 ,  6.110 ,  3.301 ,  1.541 ,  15 ,  2.128 ,  557 ,  - ,  771 ,  741 ,  - ,  402 ,  243 ,  15 ,  - ,  - ,  - ,  424.344 ,  182.701 ,  76.603 ,  116.649 ,  104.366 ,  46.786 ,  133.194 ,  47.850 ,  19.859 ,  171.791 ,  28.992 ,  9.208 ,  2.710 ,  1.493 ,  750 
Pública,  90.966 ,  777.009 ,  75.566 ,  37.622 ,  513.722 ,  32.499 ,  7.416 ,  10.971 ,  2.734 ,  39.728 ,  163.925 ,  34.223 ,  6.200 ,  88.391 ,  6.110 ,  398 ,  577 ,  - ,  378 ,  557 ,  - ,  - ,  - ,  - ,  20 ,  20 ,  - ,  - ,  - ,  - ,  21.820 ,  16.665 ,  10.148 ,  11.968 ,  9.984 ,  6.666 ,  499 ,  335 ,  150 ,  6.643 ,  4.853 ,  2.582 ,  2.710 ,  1.493 ,  750 
Federal,  14.361 ,  235.642 ,  14.105 ,  8.050 ,  136.576 ,  7.884 ,  - ,  - ,  - ,  111 ,  10.675 ,  111 ,  6.200 ,  88.391 ,  6.110 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  6.525 ,  3.915 ,  2.099 ,  3.754 ,  2.361 ,  1.288 ,  - ,  - ,  - ,  61 ,  61 ,  61 ,  2.710 ,  1.493 ,  750 
Estadual,  52.162 ,  507.449 ,  51.572 ,  22.157 ,  369.405 ,  21.404 ,  - ,  - ,  - ,  30.005 ,  138.044 ,  30.168 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  11.083 ,  10.789 ,  7.026 ,  6.417 ,  6.747 ,  4.632 ,  - ,  - ,  - ,  4.666 ,  4.042 ,  2.394 ,  - ,  - ,  - 
Municipal,  24.443 ,  33.918 ,  9.889 ,  7.415 ,  7.741 ,  3.211 ,  7.416 ,  10.971 ,  2.734 ,  9.612 ,  15.206 ,  3.944 ,  - ,  - ,  - ,  398 ,  577 ,  - ,  378 ,  557 ,  - ,  - ,  - ,  - ,  20 ,  20 ,  - ,  - ,  - ,  - ,  4.212 ,  1.961 ,  1.023 ,  1.797 ,  876 ,  746 ,  499 ,  335 ,  150 ,  1.916 ,  750 ,  127 ,  - ,  - ,  - 
Privada,  1.134.860 ,  2.370.027 ,  458.341 ,  556.346 ,  1.304.122 ,  229.935 ,  294.488 ,  541.019 ,  118.140 ,  284.026 ,  524.886 ,  110.266 ,  - ,  - ,  - ,  2.903 ,  964 ,  15 ,  1.750 ,  - ,  - ,  771 ,  741 ,  - ,  382 ,  223 ,  15 ,  - ,  - ,  - ,  402.524 ,  166.036 ,  66.455 ,  104.681 ,  94.382 ,  40.120 ,  132.695 ,  47.515 ,  19.709 ,  165.148 ,  24.139 ,  6.626 ,  - ,  - ,  - 
Sul,  497.796 ,  1.236.692 ,  228.518 ,  210.324 ,  796.042 ,  113.547 ,  110.396 ,  168.603 ,  48.263 ,  164.461 ,  207.027 ,  55.176 ,  12.615 ,  65.020 ,  11.532 ,  2.139 ,  2.589 ,  555 ,  820 ,  1.496 ,  540 ,  42 ,  22 ,  - ,  1.242 ,  1.067 ,  11 ,  35 ,  4 ,  4 ,  293.450 ,  120.583 ,  50.020 ,  140.241 ,  54.067 ,  28.504 ,  62.332 ,  29.658 ,  10.219 ,  86.362 ,  32.544 ,  10.090 ,  4.515 ,  4.314 ,  1.207 
Pública,  88.628 ,  622.876 ,  76.030 ,  73.543 ,  554.505 ,  63.444 ,  1.150 ,  1.977 ,  491 ,  1.320 ,  1.374 ,  563 ,  12.615 ,  65.020 ,  11.532 ,  779 ,  1.376 ,  469 ,  744 ,  1.372 ,  465 ,  - ,  - ,  - ,  - ,  - ,  - ,  35 ,  4 ,  4 ,  41.601 ,  24.493 ,  10.441 ,  36.977 ,  20.070 ,  9.210 ,  34 ,  34 ,  - ,  75 ,  75 ,  24 ,  4.515 ,  4.314 ,  1.207 
Federal,  60.610 ,  400.097 ,  54.654 ,  47.995 ,  335.077 ,  43.122 ,  - ,  - ,  - ,  - ,  - ,  - ,  12.615 ,  65.020 ,  11.532 ,  528 ,  1.050 ,  298 ,  493 ,  1.046 ,  294 ,  - ,  - ,  - ,  - ,  - ,  - ,  35 ,  4 ,  4 ,  27.117 ,  18.553 ,  8.091 ,  22.602 ,  14.239 ,  6.884 ,  - ,  - ,  - ,  - ,  - ,  - ,  4.515 ,  4.314 ,  1.207 
Estadual,  22.673 ,  212.823 ,  19.180 ,  22.673 ,  212.823 ,  19.180 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  66 ,  66 ,  31 ,  66 ,  66 ,  31 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9.768 ,  4.884 ,  1.851 ,  9.768 ,  4.884 ,  1.851 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  5.345 ,  9.956 ,  2.196 ,  2.875 ,  6.605 ,  1.142 ,  1.150 ,  1.977 ,  491 ,  1.320 ,  1.374 ,  563 ,  - ,  - ,  - ,  185 ,  260 ,  140 ,  185 ,  260 ,  140 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  4.716 ,  1.056 ,  499 ,  4.607 ,  947 ,  475 ,  34 ,  34 ,  - ,  75 ,  75 ,  24 ,  - ,  - ,  - 
Privada,  409.168 ,  613.816 ,  152.488 ,  136.781 ,  241.537 ,  50.103 ,  109.246 ,  166.626 ,  47.772 ,  163.141 ,  205.653 ,  54.613 ,  - ,  - ,  - ,  1.360 ,  1.213 ,  86 ,  76 ,  124 ,  75 ,  42 ,  22 ,  - ,  1.242 ,  1.067 ,  11 ,  - ,  - ,  - ,  251.849 ,  96.090 ,  39.579 ,  103.264 ,  33.997 ,  19.294 ,  62.298 ,  29.624 ,  10.219 ,  86.287 ,  32.469 ,  10.066 ,  - ,  - ,  - 
Paraná,  217.980 ,  554.314 ,  98.043 ,  75.824 ,  354.756 ,  47.790 ,  58.662 ,  86.405 ,  21.698 ,  80.964 ,  105.594 ,  26.115 ,  2.530 ,  7.559 ,  2.440 ,  469 ,  272 ,  115 ,  250 ,  201 ,  111 ,  42 ,  22 ,  - ,  142 ,  45 ,  - ,  35 ,  4 ,  4 ,  77.974 ,  35.545 ,  13.060 ,  19.419 ,  11.295 ,  5.983 ,  19.748 ,  11.202 ,  4.127 ,  38.155 ,  12.765 ,  2.913 ,  652 ,  283 ,  37 
Pública,  40.014 ,  271.447 ,  34.345 ,  35.834 ,  262.455 ,  31.563 ,  830 ,  849 ,  173 ,  820 ,  584 ,  169 ,  2.530 ,  7.559 ,  2.440 ,  285 ,  205 ,  115 ,  250 ,  201 ,  111 ,  - ,  - ,  - ,  - ,  - ,  - ,  35 ,  4 ,  4 ,  11.238 ,  6.643 ,  2.971 ,  10.545 ,  6.319 ,  2.928 ,  34 ,  34 ,  - ,  7 ,  7 ,  6 ,  652 ,  283 ,  37 
Federal,  20.206 ,  99.459 ,  18.826 ,  17.676 ,  91.900 ,  16.386 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.530 ,  7.559 ,  2.440 ,  219 ,  139 ,  84 ,  184 ,  135 ,  80 ,  - ,  - ,  - ,  - ,  - ,  - ,  35 ,  4 ,  4 ,  3.263 ,  3.338 ,  1.762 ,  2.611 ,  3.055 ,  1.725 ,  - ,  - ,  - ,  - ,  - ,  - ,  652 ,  283 ,  37 
Estadual,  18.158 ,  170.555 ,  15.177 ,  18.158 ,  170.555 ,  15.177 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  66 ,  66 ,  31 ,  66 ,  66 ,  31 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  7.934 ,  3.264 ,  1.203 ,  7.934 ,  3.264 ,  1.203 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  1.650 ,  1.433 ,  342 ,  - ,  - ,  - ,  830 ,  849 ,  173 ,  820 ,  584 ,  169 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  41 ,  41 ,  6 ,  - ,  - ,  - ,  34 ,  34 ,  - ,  7 ,  7 ,  6 ,  - ,  - ,  - 
Privada,  177.966 ,  282.867 ,  63.698 ,  39.990 ,  92.301 ,  16.227 ,  57.832 ,  85.556 ,  21.525 ,  80.144 ,  105.010 ,  25.946 ,  - ,  - ,  - ,  184 ,  67 ,  - ,  - ,  - ,  - ,  42 ,  22 ,  - ,  142 ,  45 ,  - ,  - ,  - ,  - ,  66.736 ,  28.902 ,  10.089 ,  8.874 ,  4.976 ,  3.055 ,  19.714 ,  11.168 ,  4.127 ,  38.148 ,  12.758 ,  2.907 ,  - ,  - ,  - 
Santa Catarina,  117.266 ,  292.190 ,  61.673 ,  49.054 ,  171.998 ,  27.349 ,  28.671 ,  48.266 ,  17.780 ,  35.062 ,  46.288 ,  12.445 ,  4.479 ,  25.638 ,  4.099 ,  753 ,  1.240 ,  239 ,  288 ,  813 ,  239 ,  - ,  - ,  - ,  465 ,  427 ,  - ,  - ,  - ,  - ,  105.296 ,  32.141 ,  14.554 ,  45.883 ,  14.096 ,  8.311 ,  30.345 ,  6.176 ,  2.492 ,  26.974 ,  9.193 ,  3.277 ,  2.094 ,  2.676 ,  474 
