Unidade da Federação/Categoria Administrativa,Vagas Oferecidas Total Geral,Candidatos Inscritos Total Geral,Ingressos Total Geral,Vagas Oferecidas Universidades,Candidatos Inscritos Universidades,Ingressos Universidades,Vagas Oferecidas Centros Universitários,Candidatos Inscritos Centros Universitários,Ingressos Centros Universitários,Vagas Oferecidas Faculdades Integradas,Candidatos Inscritos Faculdades Integradas,Ingressos Faculdades Integradas,"Vagas Oferecidas Faculdades, Escolas e Institutos","Candidatos Inscritos Faculdades, Escolas e Institutos","Ingressos Faculdades, Escolas e Institutos",Vagas Oferecidas CET/FaT,Candidatos Inscritos CET/FaT,Ingressos CET/FaT
Particular,  161.757 ,  162.607 ,  82.202 ,  21.150 ,  21.021 ,  13.267 ,  22.109 ,  22.027 ,  10.913 ,  13.738 ,  15.024 ,  6.468 ,  91.206 ,  93.618 ,  44.418 ,  13.554 ,  10.917 ,  7.136 
Comun/Confes/Filant,  155.582 ,  204.516 ,  100.358 ,  115.069 ,  144.640 ,  73.751 ,  23.037 ,  38.182 ,  15.564 , - , - , - ,  17.171 ,  21.517 ,  10.926 ,  305 ,  177 ,  117 
Paraná,  159.743 ,  335.898 ,  93.330 ,  47.527 ,  195.408 ,  37.099 ,  21.631 ,  23.039 ,  11.243 ,  10.784 ,  13.190 ,  5.441 ,  73.188 ,  99.668 ,  36.538 ,  6.613 ,  4.593 ,  3.009 
Pública,  27.185 ,  186.627 ,  25.939 ,  20.332 ,  159.790 ,  19.782 , - , - , - , - , - , - ,  6.853 ,  26.837 ,  6.157 , - , - , - 
Federal,  7.823 ,  65.159 ,  7.310 ,  7.823 ,  65.159 ,  7.310 , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  17.482 ,  119.382 ,  17.378 ,  12.509 ,  94.631 ,  12.472 , - , - , - , - , - , - ,  4.973 ,  24.751 ,  4.906 , - , - , - 
Municipal,  1.880 ,  2.086 ,  1.251 , - , - , - , - , - , - , - , - , - ,  1.880 ,  2.086 ,  1.251 , - , - , - 
Privada,  132.558 ,  149.271 ,  67.391 ,  27.195 ,  35.618 ,  17.317 ,  21.631 ,  23.039 ,  11.243 ,  10.784 ,  13.190 ,  5.441 ,  66.335 ,  72.831 ,  30.381 ,  6.613 ,  4.593 ,  3.009 
Particular,  113.235 ,  116.432 ,  55.721 ,  19.935 ,  19.600 ,  12.265 ,  17.389 ,  16.118 ,  8.460 ,  10.784 ,  13.190 ,  5.441 ,  58.714 ,  63.020 ,  26.623 ,  6.413 ,  4.504 ,  2.932 
Comun/Confes/Filant,  19.323 ,  32.839 ,  11.670 ,  7.260 ,  16.018 ,  5.052 ,  4.242 ,  6.921 ,  2.783 , - , - , - ,  7.621 ,  9.811 ,  3.758 ,  200 ,  89 ,  77 
Santa Catarina,  87.183 ,  158.180 ,  59.369 ,  51.463 ,  125.047 ,  39.734 ,  5.122 ,  4.881 ,  3.270 ,  2.520 ,  1.147 ,  740 ,  22.642 ,  20.705 ,  12.441 ,  5.436 ,  6.400 ,  3.184 
Pública,  22.895 ,  82.644 ,  17.615 ,  22.571 ,  80.638 ,  17.293 , - , - , - , - , - , - , - , - , - ,  324 ,  2.006 ,  322 
Federal,  4.244 ,  42.138 ,  4.362 ,  3.920 ,  40.132 ,  4.040 , - , - , - , - , - , - , - , - , - ,  324 ,  2.006 ,  322 
Estadual,  2.196 ,  18.142 ,  2.210 ,  2.196 ,  18.142 ,  2.210 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  16.455 ,  22.364 ,  11.043 ,  16.455 ,  22.364 ,  11.043 , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  64.288 ,  75.536 ,  41.754 ,  28.892 ,  44.409 ,  22.441 ,  5.122 ,  4.881 ,  3.270 ,  2.520 ,  1.147 ,  740 ,  22.642 ,  20.705 ,  12.441 ,  5.112 ,  4.394 ,  2.862 
Particular,  30.519 ,  25.065 ,  15.718 ,  1.215 ,  1.421 ,  1.002 ,  2.510 ,  1.916 ,  1.266 ,  2.520 ,  1.147 ,  740 ,  19.267 ,  16.275 ,  9.888 ,  5.007 ,  4.306 ,  2.822 
Comun/Confes/Filant,  33.769 ,  50.471 ,  26.036 ,  27.677 ,  42.988 ,  21.439 ,  2.612 ,  2.965 ,  2.004 , - , - , - ,  3.375 ,  4.430 ,  2.553 ,  105 ,  88 ,  40 
Rio Grande do Sul,  131.739 ,  242.897 ,  84.428 ,  90.840 ,  181.596 ,  57.767 ,  18.393 ,  32.289 ,  11.964 ,  434 ,  687 ,  287 ,  19.538 ,  24.497 ,  12.659 ,  2.534 ,  3.828 ,  1.751 
Pública,  11.246 ,  100.581 ,  11.013 ,  10.708 ,  95.962 ,  10.507 , - , - , - , - , - , - ,  138 ,  2.898 ,  137 ,  400 ,  1.721 ,  369 
Federal,  9.966 ,  95.942 ,  9.934 ,  9.428 ,  91.323 ,  9.428 , - , - , - , - , - , - ,  138 ,  2.898 ,  137 ,  400 ,  1.721 ,  369 
Estadual,  1.280 ,  4.639 ,  1.079 ,  1.280 ,  4.639 ,  1.079 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  120.493 ,  142.316 ,  73.415 ,  80.132 ,  85.634 ,  47.260 ,  18.393 ,  32.289 ,  11.964 ,  434 ,  687 ,  287 ,  19.400 ,  21.599 ,  12.522 ,  2.134 ,  2.107 ,  1.382 
Particular,  18.003 ,  21.110 ,  10.763 , - , - , - ,  2.210 ,  3.993 ,  1.187 ,  434 ,  687 ,  287 ,  13.225 ,  14.323 ,  7.907 ,  2.134 ,  2.107 ,  1.382 
Comun/Confes/Filant,  102.490 ,  121.206 ,  62.652 ,  80.132 ,  85.634 ,  47.260 ,  16.183 ,  28.296 ,  10.777 , - , - , - ,  6.175 ,  7.276 ,  4.615 , - , - , - 
